PID,trial,cued,response
p01,1,attention,0.5
p02,1,happiness,1.3000000000000007
p02,11,calming,0.8000000000000007
p02,21,attention,-1.1999999999999993
p02,31,sadness,2.6999999999999993
p02,41,love,2.3000000000000007
p02,51,gratitude,1.9000000000000004
p03,1,love,4.9
p03,11,calming,5.300000000000001
p03,21,attention,0.40000000000000036
p03,31,sadness,-0.1999999999999993
p03,41,happiness,8.100000000000001
p03,51,gratitude,0
p04,1,sadness,4.6
p04,6,calming,5.4
p04,11,happiness,0.5999999999999996
p04,16,love,1.9000000000000004
p04,21,attention,0.9000000000000004
p04,26,gratitude,-0.9000000000000004
p04,1,sadness,4.300000000000001
p04,6,calming,3.4000000000000004
p04,11,attention,0.1999999999999993
p04,16,love,5.800000000000001
p04,21,happiness,1.1999999999999993
p04,26,gratitude,0.6999999999999993
p05,1,happiness,8.899999999999999
p05,6,love,9.899999999999999
p05,11,calming,1.1999999999999993
p05,16,attention,-1.6999999999999993
p05,21,gratitude,-3.5
p05,26,sadness,-3.5999999999999996
p05,1,gratitude,-7.6
p05,6,love,8.600000000000001
p05,11,attention,0.5
p05,16,sadness,-1.5
p05,21,happiness,9.8
p05,26,calming,9.8
p06,1,happiness,-0.40000000000000036
p06,6,sadness,-3.8
p06,11,gratitude,3.0999999999999996
p06,16,calming,-7.5
p06,21,attention,-0.09999999999999964
p06,26,love,-4.3
p06,1,love,-4.6
p06,6,gratitude,2.6999999999999993
p06,11,attention,0.9000000000000004
p06,16,happiness,-0.40000000000000036
p06,21,sadness,-1.9000000000000004
p06,26,calming,-4
p07,1,attention,-1.9000000000000004
p07,6,happiness,3.6999999999999993
p07,11,love,4.300000000000001
p07,16,sadness,0.6999999999999993
p07,21,calming,5.199999999999999
p07,26,gratitude,0.6999999999999993
p07,1,love,3.6999999999999993
p07,6,attention,-4.2
p07,11,gratitude,2.6999999999999993
p07,16,calming,4.300000000000001
p07,21,sadness,2.0999999999999996
p07,26,happiness,5.6
p08,1,attention,1.0999999999999996
p08,6,calming,1.8000000000000007
p08,11,happiness,5.199999999999999
p08,16,love,2.6999999999999993
p08,21,sadness,3.8000000000000007
p08,26,gratitude,1.0999999999999996
p08,1,sadness,1.5999999999999996
p08,6,gratitude,0
p08,11,attention,0.40000000000000036
p08,16,happiness,6.399999999999999
p08,21,love,2.0999999999999996
p08,26,calming,2.3000000000000007
p09,1,calming,4.699999999999999
p09,6,sadness,2.5999999999999996
p09,11,happiness,-0.5999999999999996
p09,16,attention,0.1999999999999993
p09,21,love,6.600000000000001
p09,26,gratitude,0.5
p09,1,love,5.9
p09,6,attention,0.1999999999999993
p09,11,calming,6
p09,16,happiness,1.6999999999999993
p09,21,sadness,1.9000000000000004
p09,26,gratitude,2.6999999999999993
p10,1,calming,7.100000000000001
p10,6,sadness,4.699999999999999
p10,11,love,0.5999999999999996
p10,16,gratitude,-1.1999999999999993
p10,21,happiness,-4.1
p10,26,attention,-6.9
p10,1,sadness,3.9000000000000004
p10,6,happiness,-3
p10,11,attention,-6.4
p10,16,calming,7
p10,21,gratitude,-0.8000000000000007
p10,26,love,3.9000000000000004
p01,1,happiness,-2.5999999999999996
